currency_from,currency_to,exchange_rate
CHF,MRO,363.098509
CHF,MUR,45.819675
CHF,MVR,15.612123
CHF,MWK,1044.058449
CHF,MXN,21.164651
CHF,MYR,4.519884
CHF,MZN,64.920556
CHF,NAD,16.110843
CHF,NGN,422.424735
CHF,NIO,36.47042
CHF,NOK,10.405474
CHF,NPR,129.906349
CHF,NZD,1.65931
CHF,OMR,0.391567
CHF,PAB,1.017175
CHF,PEN,4.023953
CHF,PGK,3.630119
CHF,PHP,57.29214
CHF,PKR,213.147826
CHF,PLN,4.888763
CHF,PYG,6979.23168
CHF,QAR,3.703231
CHF,RON,5.013301
CHF,RSD,119.054677
CHF,RUB,59.270489
CHF,RWF,1048.900638
CHF,SAR,3.818034
CHF,SBD,8.299367
CHF,SCR,13.319767
CHF,SDG,464.297019
CHF,SEK,10.754464
CHF,SGD,1.427068
CHF,SHP,1.400934
CHF,SLL,13394.984851
CHF,SOS,594.483639
CHF,SRD,22.867591
CHF,STD,21051.567711
CHF,SVC,8.900277
CHF,SYP,2555.451349
CHF,SZL,17.431779
CHF,THB,37.193207
CHF,TJS,10.502205
CHF,TMT,3.569962
CHF,TND,3.115836
CHF,TOP,2.403777
CHF,TRY,17.767524
CHF,TTD,6.888067
CHF,TWD,30.445062
CHF,TZS,2371.837898
CHF,UAH,30.030012
CHF,UGX,3829.676042
CHF,USD,1.017083
CHF,UYU,41.729353
CHF,UZS,11122.550421
CHF,VND,23820.08736
CHF,VUV,120.927144
CHF,WST,2.767453
CHF,XAF,666.163566
CHF,XAG,0.055123
CHF,XAU,0.000594
CHF,XCD,2.748718
CHF,XDR,0.77538
CHF,XOF,666.140286
CHF,XPF,115.083121
CHF,YER,254.5248
CHF,ZAR,17.429547
CHF,ZMK,9154.971959
CHF,ZMW,16.691741
CHF,ZWL,327.500359
DKK,AED,0.494793
DKK,AFN,11.85398
DKK,ALL,15.770468
DKK,AMD,55.584286
DKK,ANG,0.242796
DKK,AOA,58.276631
DKK,ARS,17.244419
DKK,AUD,0.199432
DKK,AWG,0.242136
DKK,AZN,0.228974
DKK,BAM,0.263058
DKK,BBD,0.272008
DKK,BDT,12.65683
DKK,BGN,0.262806
DKK,BHD,0.050782
DKK,BIF,277.346456
DKK,BMD,0.134707
DKK,BND,0.189128
DKK,BOB,0.927537
DKK,BRL,0.730693
DKK,BSD,0.134719
DKK,BTC,6.550487e-06
DKK,BTN,10.753414
DKK,BWP,1.723851
DKK,BYN,0.340037
DKK,BYR,2640.264447
DKK,BZD,0.271551
DKK,CAD,0.176608
DKK,CDF,269.751848
DKK,CHF,0.132445
DKK,CLF,0.004928
DKK,CLP,135.965501
DKK,CNY,0.91011
DKK,COP,605.105505
DKK,CRC,92.353321
DKK,CUC,0.134707
DKK,CUP,3.569745
DKK,CVE,14.830743
DKK,CZK,3.286577
DKK,DJF,23.940208
DKK,DKK,1
DKK,DOP,7.355708
DKK,DZD,19.821195
DKK,EGP,2.542992
DKK,ERN,2.020611
DKK,ETB,7.030699
DKK,EUR,0.134367
DKK,FJD,0.300155
DKK,FKP,0.113469
DKK,GBP,0.113783
DKK,GEL,0.396058
DKK,GGP,0.113469
DKK,GHS,1.094555
DKK,GIP,0.113469
DKK,GMD,7.286322
DKK,GNF,1169.122267
DKK,GTQ,1.042728
DKK,GYD,28.185651
DKK,HKD,1.057424
DKK,HNL,3.312066
DKK,HRK,1.009659
DKK,HTG,15.61099
DKK,HUF,54.643371
DKK,IDR,2026.753202
DKK,ILS,0.471359
DKK,IMP,0.113469
DKK,INR,10.760229
DKK,IQD,196.624338
DKK,IRR,5704.857149
DKK,ISK,18.690678
DKK,JEP,0.113469
DKK,JMD,20.450368
DKK,JOD,0.095507
DKK,JPY,18.72035
DKK,KES,15.922635
DKK,KGS,10.925152
DKK,KHR,550.060697
DKK,KMF,62.588413
DKK,KPW,121.236632
DKK,KRW,177.390072
DKK,KWD,0.041503
DKK,KYD,0.112272
DKK,KZT,64.630646
DKK,LAK,2024.753319
DKK,LBP,203.722199
DKK,LKR,48.631795
DKK,LRD,20.543027
DKK,LSL,2.133721
DKK,LTL,0.397756
DKK,LVL,0.081483
DKK,LYD,0.656549
DKK,MAD,1.393604
DKK,MDL,2.60204
DKK,MGA,554.052824
DKK,MKD,8.285444
DKK,MMK,249.431873
DKK,MNT,423.608876
DKK,MOP,1.089253
DKK,MRO,48.090508
DKK,MUR,6.068577
DKK,MVR,2.067744
DKK,MWK,138.280108
DKK,MXN,2.803148
DKK,MYR,0.598635
DKK,MZN,8.59839
DKK,NAD,2.133797
DKK,NGN,55.947958
DKK,NIO,4.830317
DKK,NOK,1.378151
DKK,NPR,17.20542
DKK,NZD,0.219767
DKK,OMR,0.051861
DKK,PAB,0.134719
DKK,PEN,0.532952
DKK,PGK,0.48079
DKK,PHP,7.588046
